family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status,Order,Node.1,Node.2,Node.3,Node.4,apg_match,nodes_text,FinalClade,is_vascular,clade_assignment_source,AnalysisClade
Aristolochiaceae,Asarum,Asarum canadense,7,7,1,TRUE,,observed_binomial_species,Asarum_canadense,compatible,Piperales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Asparagaceae,Dracaena,Dracaena draco,56,31,4,TRUE,,observed_binomial_species,Dracaena_draco,compatible,Asparagales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Asphodelaceae,Xanthorrhoea,Xanthorrhoea resinosa,17,17,2,TRUE,,observed_binomial_species,Xanthorrhoea_resinosa,compatible,Asparagales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Aspleniaceae,Asplenium,Asplenium ceterach,4,4,1,TRUE,,observed_binomial_species,Asplenium_ceterach,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Asteraceae,Bidens,Bidens pilosa,58,50,7,TRUE,,observed_binomial_species,Bidens_pilosa,compatible,Asterales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Athyriaceae,Diplazium,Diplazium esculentum,2,2,1,TRUE,,observed_binomial_species,Diplazium_esculentum,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,APG_reference,Ferns
Aulacomniaceae,Aulacomnium,Aulacomnium androgynum,6,6,1,TRUE,,observed_binomial_species,Aulacomnium_androgynum,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Balanophoraceae,Balanophora,Balanophora tobiracola,21,19,2,TRUE,,observed_binomial_species,Balanophora_tobiracola,compatible,Santalales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Santalales,TRUE,APG_reference,Caryophy_Santalales
Balsaminaceae,Impatiens,Impatiens balsamina,1,1,1,TRUE,,observed_binomial_species,Impatiens_balsamina,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Basellaceae,Basella,Basella alba,1,1,1,TRUE,,observed_binomial_species,Basella_alba,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Begoniaceae,Begonia,Begonia nantoensis,9,7,2,TRUE,,observed_binomial_species,Begonia_nantoensis,compatible,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Berberidaceae,Achlys,Achlys triphylla,4,4,2,TRUE,,observed_binomial_species,Achlys_triphylla,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Betulaceae,Alnus,Alnus sieboldiana,17,14,5,TRUE,,observed_binomial_species,Alnus_sieboldiana,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Bignoniaceae,Anemopaegma,Anemopaegma arvense,7,7,1,TRUE,,observed_binomial_species,Anemopaegma_arvense,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Bixaceae,Cochlospermum,Cochlospermum gillivraei,1,1,1,TRUE,,observed_binomial_species,Cochlospermum_gillivraei,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Blechnaceae,Brainea,Brainea insignis,3,3,2,TRUE,,observed_binomial_species,Brainea_insignis,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Bonnetiaceae,Bonnetia,Bonnetia paniculata,2,2,1,TRUE,,observed_binomial_species,Bonnetia_paniculata,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Boraginaceae,Echiochilon,Echiochilon fruticosum,4,4,1,TRUE,,observed_binomial_species,Echiochilon_fruticosum,compatible,Boraginales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Brassicaceae,Anastatica,Anastatica hierochuntica,46,22,3,TRUE,,observed_binomial_species,Anastatica_hierochuntica,compatible,Brassicales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Bromeliaceae,Ananas,Ananas comosus,23,17,2,TRUE,,observed_binomial_species,Ananas_comosus,compatible,Poales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Bryaceae,Rosulabryum,Rosulabryum capillare,6,3,2,TRUE,,observed_binomial_species,Rosulabryum_capillare,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Burseraceae,Commiphora,Commiphora socotrana,7,7,1,TRUE,,observed_binomial_species,Commiphora_socotrana,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Cactaceae,Echinocereus,Echinocereus coccineus,12,12,1,TRUE,,observed_binomial_species,Echinocereus_coccineus,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Calceolariaceae,Calceolaria,Calceolaria hypericina,3,3,2,TRUE,,observed_binomial_species,Calceolaria_hypericina,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Calophyllaceae,Calophyllum,Calophyllum polyanthum,5,5,2,TRUE,,observed_binomial_species,Calophyllum_polyanthum,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Campanulaceae,Platycodon,Platycodon grandiflorus,8,7,2,TRUE,,observed_binomial_species,Platycodon_grandiflorus,compatible,Asterales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Cannabaceae,Humulus,Humulus lupulus,215,77,46,TRUE,,observed_binomial_species,Humulus_lupulus,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Capparaceae,Crateva,Crateva religiosa,2,2,1,TRUE,,observed_binomial_species,Crateva_religiosa,compatible,Brassicales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Caprifoliaceae,Patrinia,Patrinia villosa,2,2,2,TRUE,,observed_binomial_species,Patrinia_villosa,compatible,Dipsacales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Caryophyllaceae,Dianthus,Dianthus caryophyllus,6,6,3,TRUE,,observed_binomial_species,Dianthus_caryophyllus,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Casuarinaceae,Casuarina,Casuarina equisetifolia,2,2,1,TRUE,,observed_binomial_species,Casuarina_equisetifolia,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Celastraceae,Gymnosporia,Gymnosporia senegalensis,24,20,3,TRUE,,observed_binomial_species,Gymnosporia_senegalensis,compatible,Celastrales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cephalotaxaceae,Cephalotaxus,Cephalotaxus harringtonii,10,10,1,TRUE,,observed_binomial_species,Cephalotaxus_harringtonii,compatible,,,,,,FALSE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum japonicum,6,6,1,TRUE,,observed_binomial_species,Cercidiphyllum_japonicum,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Chloranthaceae,Sarcandra,Sarcandra glabra,34,30,5,TRUE,,observed_binomial_species,Sarcandra_glabra,compatible,Chloranthales,,,,,TRUE,,Chloranthales,TRUE,APG_reference,Chloranthales
Chrysobalanaceae,Moquilea,Moquilea pyrifolia,6,6,1,TRUE,,observed_binomial_species,Moquilea_pyrifolia,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cistaceae,Cistus,Cistus laurifolius,8,5,3,TRUE,,observed_binomial_species,Cistus_laurifolius,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Cleomaceae,Cleome,Cleome droserifolia,2,2,1,TRUE,,observed_binomial_species,Cleome_droserifolia,compatible,Brassicales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Clusiaceae,Garcinia,Garcinia dulcis,34,32,3,TRUE,,observed_binomial_species,Garcinia_dulcis,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Combretaceae,Getonia,Getonia floribunda,20,18,3,TRUE,,observed_binomial_species,Getonia_floribunda,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Convolvulaceae,Ipomoea,Ipomoea nil,15,14,4,TRUE,,observed_binomial_species,Ipomoea_nil,compatible,Solanales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Cordiaceae,Cordia,Cordia goetzei,9,9,1,TRUE,,observed_binomial_species,Cordia_goetzei,compatible,,,,,,FALSE,,Asterids (Lamiids),TRUE,manual_family_override,Asterids (Lamiids)
Coriariaceae,Coriaria,Coriaria japonica,2,2,1,TRUE,,observed_binomial_species,Coriaria_japonica,compatible,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cornaceae,Cornus,Cornus kousa,3,3,1,TRUE,,observed_binomial_species,Cornus_kousa,compatible,Cornales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Corsiniaceae,Corsinia,Corsinia coriandrina,3,3,1,TRUE,,observed_binomial_species,Corsinia_coriandrina,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Crassulaceae,Rhodiola,Rhodiola semenovii,34,21,6,TRUE,,observed_binomial_species,Rhodiola_semenovii,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Cucurbitaceae,Cucurbita,Cucurbita pepo,15,15,1,TRUE,,observed_binomial_species,Cucurbita_pepo,compatible,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cunoniaceae,Eucryphia,Eucryphia glutinosa,2,2,1,TRUE,,observed_binomial_species,Eucryphia_glutinosa,compatible,Oxalidales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cupressaceae,Cryptomeria,Cryptomeria japonica,19,15,5,TRUE,,observed_binomial_species,Cryptomeria_japonica,compatible,Cupressales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Cyatheaceae,Alsophila,Alsophila spinulosa,4,4,1,TRUE,,observed_binomial_species,Alsophila_spinulosa,compatible,Cyatheales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Cycadaceae,Cycas,Cycas circinalis,11,11,1,TRUE,,observed_binomial_species,Cycas_circinalis,compatible,Cycadales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Cynomoriaceae,Cynomorium,Cynomorium coccineum,9,6,4,TRUE,,observed_binomial_species,Cynomorium_coccineum,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,manual_family_override,Saxifragales
Cyperaceae,Cyperus,Cyperus capitatus,20,17,3,TRUE,,observed_binomial_species,Cyperus_capitatus,compatible,Poales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Daphniphyllaceae,Daphniphyllum,Daphniphyllum himalayense,6,6,2,TRUE,,observed_binomial_species,Daphniphyllum_himalayense,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Davalliaceae,Davallia,Davallia bullata,33,22,6,TRUE,,observed_binomial_species,Davallia_bullata,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,APG_reference,Ferns
Dennstaedtiaceae,Microlepia,Microlepia marginata,3,2,2,TRUE,,observed_binomial_species,Microlepia_marginata,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Diapensiaceae,Berneuxia,Berneuxia thibetica,2,2,1,TRUE,,observed_binomial_species,Berneuxia_thibetica,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Dicranaceae,Dicranoloma,Dicranoloma robustum,4,4,1,TRUE,,observed_binomial_species,Dicranoloma_robustum,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Didiereaceae,Alluaudia,Alluaudia humbertii,2,2,1,TRUE,,observed_binomial_species,Alluaudia_humbertii,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Dilleniaceae,Dillenia,Dillenia pentagyna,6,6,1,TRUE,,observed_binomial_species,Dillenia_pentagyna,compatible,Dilleniales,Eudicots,,,,TRUE,Eudicots,Other Eudicots,TRUE,APG_reference,Basal Eudicots
Dioscoreaceae,Dioscorea,Dioscorea cirrhosa,24,22,2,TRUE,,observed_binomial_species,Dioscorea_cirrhosa,compatible,Dioscoreales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Dipterocarpaceae,Monotes,Monotes engleri,19,18,3,TRUE,,observed_binomial_species,Monotes_engleri,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Dryopteridaceae,Dryopteris,Dryopteris crassirhizoma,13,13,2,TRUE,,observed_binomial_species,Dryopteris_crassirhizoma,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Ebenaceae,Diospyros,Diospyros kaki,34,26,5,TRUE,,observed_binomial_species,Diospyros_kaki,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Elaeagnaceae,Hippophae,Hippophae rhamnoides,5,5,1,TRUE,,observed_binomial_species,Hippophae_rhamnoides,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Elatinaceae,Bergia,Bergia capensis,4,4,1,TRUE,,observed_binomial_species,Bergia_capensis,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Ephedraceae,Ephedra,Ephedra frustillata,2,2,1,TRUE,,observed_binomial_species,Ephedra_frustillata,compatible,Gnetales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Equisetaceae,Equisetum,Equisetum arvense,8,7,2,TRUE,,observed_binomial_species,Equisetum_arvense,compatible,Equisetales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Ericaceae,Vaccinium,Vaccinium vitis-idaea,33,26,4,TRUE,,observed_binomial_species,Vaccinium_vitis-idaea,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Eriocaulaceae,Eriocaulon,Eriocaulon buergerianum,5,5,2,TRUE,,observed_binomial_species,Eriocaulon_buergerianum,compatible,Poales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Erythroxylaceae,Erythroxylum,Erythroxylum novogranatense,12,10,2,TRUE,,observed_binomial_species,Erythroxylum_novogranatense,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Eucommiaceae,Eucommia,Eucommia ulmoides,5,5,3,TRUE,,observed_binomial_species,Eucommia_ulmoides,compatible,Garryales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Euphorbiaceae,Macaranga,Macaranga tanarius,57,50,3,TRUE,,observed_binomial_species,Macaranga_tanarius,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Eupteleaceae,Euptelea,Euptelea polyandra,1,1,1,TRUE,,observed_binomial_species,Euptelea_polyandra,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Fabaceae,Glycyrrhiza,Glycyrrhiza glabra,379,196,69,TRUE,,observed_binomial_species,Glycyrrhiza_glabra,compatible,Fabales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Fagaceae,Quercus,Quercus robur,30,26,3,TRUE,,observed_binomial_species,Quercus_robur,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Francoaceae,Greyia,Greyia flanaganii,8,8,1,TRUE,,observed_binomial_species,Greyia_flanaganii,compatible,Geraniales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Gentianaceae,Hoppea,Hoppea dichotoma,11,11,1,TRUE,,observed_binomial_species,Hoppea_dichotoma,compatible,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Geraniaceae,Geranium,Geranium niveum,20,16,3,TRUE,,observed_binomial_species,Geranium_niveum,compatible,Geraniales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Gesneriaceae,Didymocarpus,Didymocarpus albicalyx,16,16,1,TRUE,,observed_binomial_species,Didymocarpus_albicalyx,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Ginkgoaceae,Ginkgo,Ginkgo biloba,10,8,3,TRUE,,observed_binomial_species,Ginkgo_biloba,compatible,Ginkgoales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Gleicheniaceae,Dicranopteris,Dicranopteris pedata,30,30,1,TRUE,,observed_binomial_species,Dicranopteris_pedata,compatible,Gleicheniales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Gnetaceae,Gnetum,Gnetum africanum,12,12,1,TRUE,,observed_binomial_species,Gnetum_africanum,compatible,Gnetales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Grossulariaceae,Ribes,Ribes rubrum,22,22,4,TRUE,,observed_binomial_species,Ribes_rubrum,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Haloragaceae,Myriophyllum,Myriophyllum aquaticum,2,2,1,TRUE,,observed_binomial_species,Myriophyllum_aquaticum,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Hamamelidaceae,Hamamelis,Hamamelis virginiana,20,17,3,TRUE,,observed_binomial_species,Hamamelis_virginiana,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Heliotropiaceae,Heliotropium,Heliotropium glutinosum,6,6,1,TRUE,,observed_binomial_species,Heliotropium_glutinosum,compatible,,,,,,FALSE,,Asterids (Lamiids),TRUE,manual_family_override,Asterids (Lamiids)
Hernandiaceae,Hernandia,Hernandia nymphaeifolia,6,6,1,TRUE,,observed_binomial_species,Hernandia_nymphaeifolia,compatible,Laurales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
